Rozmiar,Nr,Czas_us
10,1,1.816
10,2,1.327
10,3,1.327
10,4,1.327
10,5,1.257
10,6,1.257
10,7,1.257
10,8,1.257
10,9,1.257
10,10,1.396
100,1,560.905
100,2,5.238
100,3,4.959
100,4,4.749
100,5,4.749
100,6,4.889
100,7,4.75
100,8,4.749
100,9,4.75
100,10,4.75
10000,1,317.993
10000,2,326.933
10000,3,322.882
10000,4,318.343
10000,5,321.416
10000,6,316.735
10000,7,327.771
10000,8,318.412
10000,9,319.949
10000,10,319.529
20000,1,700.94
20000,2,698.984
20000,3,702.685
20000,4,695.702
20000,5,700.591
20000,6,698.845
20000,7,700.521
20000,8,696.4
20000,9,708.552
20000,10,695.142
50000,1,1850.2
50000,2,1807.45
50000,3,1804.52
50000,4,1795.58
50000,5,1791.74
50000,6,1785.11
50000,7,1809.9
50000,8,1829.32
50000,9,1815.77
50000,10,1806.83
70000,1,2466.42
70000,2,2465.86
70000,3,2462.79
70000,4,2450.7
70000,5,2461.39
70000,6,2476.97
70000,7,2481.37
70000,8,2451.89
70000,9,2454.13
70000,10,2469.84
100000,1,3625.46
100000,2,3574.82
100000,3,3593.54
100000,4,3588.16
100000,5,3593.05
100000,6,3574.68
100000,7,3590.12
100000,8,3577.75
100000,9,3599.96
100000,10,3581.18
